,county,zip,population_2020,property_crime,violent_crime,propertycrime_percapita,violentcrime_percapita
241,King,98117,34692.263,3.0,4.0,8.647461250942321,11.529948334589761
242,King,98118,49055.706,16.0,29.0,32.61598151293552,59.11646649219563
243,King,98119,26505.155,3.0,5.0,11.31855293809827,18.86425489683045
244,King,98121,23067.9,4.0,14.0,17.34011331764053,60.690396611741846
245,King,98122,45200.655,8.0,12.0,17.698858567425628,26.54828785113844
246,King,98125,43229.697,10.0,12.0,23.132246335198694,27.758695602238433
247,King,98126,24118.534,51.0,24.0,211.4556382241143,99.50853563487732
248,King,98133,49764.261,15.0,27.0,30.142113433574348,54.25580418043383
249,King,98134,677.466,44.0,31.0,6494.7908824944725,4575.875394484741
250,King,98136,16322.509,1.0,1.0,6.126509104697077,6.126509104697077
251,King,98144,34098.433,20.0,18.0,58.65372171207985,52.78834954087186
252,King,98146,29317.33,479.0,161.0,1633.845919802383,549.1632423552895
253,King,98148,10926.865,5.0,2.0,45.75877893613585,18.303511574454337
255,King,98155,34826.668,5.0,5.0,14.356814151729935,14.356814151729935
257,King,98164,156.851,0.0,2.0,0.0,1275.0954727735239
258,King,98166,21946.999,8.0,12.0,36.45145288428728,54.677179326430924
259,King,98168,36440.581,236.0,82.0,647.6296302740069,225.0238545867312
261,King,98177,20489.791,3.0,1.0,14.641437777476597,4.880479259158865
262,King,98178,26811.042,352.0,192.0,1312.8919047607326,716.1228571422178
263,King,98188,25374.609,31.0,25.0,122.16937017630498,98.52368562605241
265,King,98198,37597.529,10.0,14.0,26.59749261713449,37.23648966398829
266,King,98199,21594.683,0.0,1.0,0.0,4.630769527850907
267,King,98224,311.004,1.0,1.0,321.5392728067806,321.5392728067806
268,King,98288,378.322,10.0,5.0,2643.2509872542437,1321.6254936271218
269,King,98354,1134.976,,,,
